GTA06,Latitude,Longitude
1204,43.88678088,-78.88859887
1205,43.89011338,-78.87928491
1206,43.89353258,-78.87234317
1207,43.88778109,-78.87113368
1208,43.89635053,-78.85935066
1209,43.8908,-78.85788812
1210,43.89670543,-78.84139051
1211,43.89980823,-78.82176253
1212,43.87819858,-78.88482901
1213,43.88152767,-78.86920827
1214,43.88504677,-78.85422771
1215,43.88852825,-78.83759843
1216,43.88888239,-78.81372
1217,43.86346205,-78.87868238
1218,43.86652459,-78.86701374
1219,43.87507568,-78.85775416
1220,43.85962874,-78.85501605
1221,43.87867723,-78.84711768
1222,43.86472088,-78.84016411
1223,43.88276284,-78.83205672
1224,43.87271276,-78.82796936
1225,43.87718552,-78.81133526
1226,44.0287992,-78.81697825
1227,44.0490427,-78.73242206
1228,43.9885845,-78.79623259
1229,44.00774984,-78.71288572
1230,43.95890854,-78.80850411
1231,43.97008027,-78.75072681
1232,43.98292578,-78.69713226
1233,43.94221397,-78.79591536
1234,43.94408825,-78.74160673
1235,43.96062481,-78.68368744
1236,43.92579107,-78.80309016
1237,43.91319043,-78.80864415
1238,43.91656904,-78.79121877
1239,43.92911747,-78.77238902
1240,43.92019678,-78.77639492
1241,43.90050663,-78.79699496
1242,43.90365156,-78.77977471
1243,43.88409445,-78.79566171
1244,43.88602314,-78.77766938
1245,43.90614958,-78.76753349
1246,43.89281724,-78.7611986
1247,43.88340087,-78.75633181
1248,43.87349887,-78.76650267
1249,43.91888709,-78.7403004
1250,43.89953714,-78.73435785
1251,43.88619681,-78.74149547
1252,43.87620122,-78.72148383
1253,43.92008613,-78.7138146
1254,43.89927185,-78.70407506
1255,43.88231792,-78.69411037
1256,43.93883758,-78.70350491
1257,43.94347661,-78.68440128
1258,43.92479402,-78.69777774
1259,43.93285407,-78.68251706
1260,43.91525337,-78.68701685
1261,43.92085847,-78.67280575
1262,43.90414648,-78.69149624
1263,43.90596185,-78.68308935
1264,43.90714584,-78.67346999
1265,43.90516615,-78.663494
1266,43.88978201,-78.67923378
1267,43.89569458,-78.66337654
1268,43.93782051,-78.65394252
1269,43.92195268,-78.65817996
1270,43.9218205,-78.64219022
1271,43.90650466,-78.65131355
1272,43.89681631,-78.64712417
1273,43.90752352,-78.63578803
1274,43.89866095,-78.63274206
1275,44.04070191,-78.64950244
1276,44.01266614,-78.63009285
1277,44.05616691,-78.55963485
1278,43.98232662,-78.63586736
1279,43.97309285,-78.6186236
1280,43.97646835,-78.55571957
1281,43.98602667,-78.49113058
1282,43.93968762,-78.62009597
1283,43.92233092,-78.61696344
1284,43.9285476,-78.59307527
1285,43.90806254,-78.61421708
1286,43.91466651,-78.60080393
